,Student id,Attendance,Average,Compulsory,Subject
9,11218393,9,8.3,1.0,DesWeb
10,11218394,9,7.8,1.0,DesWeb
11,11211287,9,9.0,1.0,DesWeb
12,11218396,6,6.5,1.0,DesWeb
13,11218398,8,8.4,1.0,DesWeb
14,11211965,10,8.1,1.0,DesWeb
15,11218399,9,7.5,1.0,DesWeb
16,11218401,9,8.8,1.0,DesWeb
17,11218402,10,8.9,1.0,DesWeb
18,11212227,7,7.4,1.0,DesWeb
19,11212229,9,8.1,1.0,DesWeb
20,11218404,8,8.25,1.0,DesWeb
21,11218405,9,9.25,1.0,DesWeb
22,11218403,6,5.5,1.0,DesWeb
23,11218407,10,8.6,1.0,DesWeb
24,11212608,9,8.1,1.0,DesWeb
25,11218408,9,8.6,1.0,DesWeb
26,11218409,10,7.45,1.0,DesWeb
27,11212455,7,8.1,1.0,DesWeb
28,11218410,9,8.5,1.0,DesWeb
29,11218411,10,8.6,1.0,DesWeb
30,11218412,6,7.25,1.0,DesWeb
31,11218413,9,7.5,1.0,DesWeb
32,11218414,8,7.5,1.0,DesWeb
33,11218415,10,7.9,1.0,DesWeb
34,11214142,10,8.2,1.0,DesWeb
35,11218416,9,7.85,1.0,DesWeb
36,11218417,9,8.3,1.0,DesWeb
37,11215008,9,9.7,1.0,DesWeb
38,11218419,6,7.8,1.0,DesWeb
39,11214967,8,7.5,1.0,DesWeb
40,11218420,10,7.15,1.0,DesWeb
41,11218421,10,7.7,1.0,DesWeb
42,11203367,8,7.5,0.5,DesWeb
43,11218422,10,9.1,1.0,DesWeb
44,11218423,9,9.2,1.0,DesWeb
45,11215179,10,7.95,1.0,DesWeb
46,11218424,10,8.7,1.0,DesWeb
47,11218425,10,8.15,1.0,DesWeb
48,11203546,8,7.5,0.5,DesWeb
49,11218426,10,7.9,1.0,DesWeb
50,11218429,9,7.1,1.0,DesWeb
51,11218428,10,9.35,1.0,DesWeb
52,11218431,10,9.35,1.0,DesWeb
53,11218433,9,8.3,1.0,DesWeb
54,11218434,10,8.65,1.0,DesWeb
55,11218435,8,8.45,1.0,DesWeb
56,11218437,9,7.35,1.0,DesWeb
57,11218438,6,5.0,1.0,DesWeb
